NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
47912677;2018;10.78;13.490459659;Guatecompras;Q;17/05/2018;2
19554648;2017;7;8.856368155;Guatecompras;Q;24/11/2017;102
61458228;2017;6.5;8.223770430;Guatecompras;Q;24/11/2017;102
47912677;2017;11.23;14.208144912;Guatecompras;Q;24/11/2017;102
64186059;2017;3.65;4.617963395;Guatecompras;Q;24/11/2017;102
47912677;2018;6.66;8.334551144;Guatecompras;Q;17/05/2018;102
61458228;2018;7;8.760038739;Guatecompras;Q;18/05/2018;103
47912677;2017;11.49;14.537095729;Guatecompras;Q;27/11/2017;2
61458228;2017;13;16.447540860;Guatecompras;Q;27/11/2017;2
2475546K;2017;9;11.386759057;Guatecompras;Q;27/11/2017;2
19554648;2017;6.8;8.603329065;Guatecompras;Q;28/11/2017;103
61458228;2017;7;8.856368155;Guatecompras;Q;28/11/2017;103
4556984;2017;7.9;9.995044061;Guatecompras;Q;28/11/2017;103
64186059;2018;5.85;7.360921348;Guatecompras;Q;16/01/2018;11
47912677;2018;8.19;10.305289888;Guatecompras;Q;16/01/2018;11
41274989;2018;6.5;8.178801498;Guatecompras;Q;15/01/2018;7
2475546K;2018;10;12.582771536;Guatecompras;Q;15/01/2018;7
47912677;2018;8.19;10.305289888;Guatecompras;Q;15/01/2018;7
47912677;2018;8.02;10.091382772;Guatecompras;Q;15/01/2018;5
19554648;2018;7.98;10.041051685;Guatecompras;Q;15/01/2018;5
61458228;2018;9.9;12.456943820;Guatecompras;Q;15/01/2018;5
4556984;2018;12.85;16.168861423;Guatecompras;Q;15/01/2018;2
61458228;2018;9.9;12.456943820;Guatecompras;Q;15/01/2018;2
47912677;2018;10.7;13.463565543;Guatecompras;Q;15/01/2018;2
19554648;2018;7;8.807940075;Guatecompras;Q;15/01/2018;99
19554648;2018;7;8.807940075;Guatecompras;Q;15/01/2018;102
61458228;2018;7;8.807940075;Guatecompras;Q;15/01/2018;102
41274989;2018;5.4;6.794696629;Guatecompras;Q;15/01/2018;102
47912677;2018;5.82;7.323173034;Guatecompras;Q;15/01/2018;102
